time,x,y,z
5.58000000,0.23721372,-0.64665067,0.00000000
5.60000000,0.22443412,-0.63126664,0.00000000
5.62000000,0.21196474,-0.61563011,0.00000000
5.64000000,0.19981056,-0.59974733,0.00000000
5.66000000,0.18797644,-0.58362466,0.00000000
5.68000000,0.17646713,-0.56726855,0.00000000
5.70000000,0.16528722,-0.55068554,0.00000000
5.72000000,0.15444118,-0.53388227,0.00000000
5.74000000,0.14393335,-0.51686544,0.00000000
5.76000000,0.13376794,-0.49964188,0.00000000
5.78000000,0.12394901,-0.48221847,0.00000000
5.80000000,0.11448048,-0.46460218,0.00000000
5.82000000,0.10536616,-0.44680005,0.00000000
5.84000000,0.09660967,-0.42881921,0.00000000
5.86000000,0.08821453,-0.41066685,0.00000000
5.88000000,0.08018409,-0.39235022,0.00000000
5.90000000,0.07252157,-0.37387666,0.00000000
5.92000000,0.06523002,-0.35525356,0.00000000
5.94000000,0.05831237,-0.33648836,0.00000000
5.96000000,0.05177139,-0.31758857,0.00000000
5.98000000,0.04560968,-0.29856174,0.00000000
6.00000000,0.03982971,-0.27941550,0.00000000
6.02000000,0.03443380,-0.26015749,0.00000000
6.04000000,0.02942411,-0.24079543,0.00000000
6.06000000,0.02480263,-0.22133704,0.00000000
6.08000000,0.02057122,-0.20179013,0.00000000
6.10000000,0.01673156,-0.18216250,0.00000000
6.12000000,0.01328520,-0.16246202,0.00000000
6.14000000,0.01023351,-0.14269654,0.00000000
6.16000000,0.00757772,-0.12287400,0.00000000
6.18000000,0.00531888,-0.10300230,0.00000000
6.20000000,0.00345790,-0.08308940,0.00000000
6.22000000,0.00199553,-0.06314327,0.00000000
6.24000000,0.00093234,-0.04317189,0.00000000
6.26000000,0.00026877,-0.02318323,0.00000000
6.28000000,0.00000507,-0.00318530,0.00000000
6.30000000,0.00014136,0.01681390,0.00000000
6.32000000,0.00067758,0.03680638,0.00000000
6.34000000,0.00161352,0.05678413,0.00000000
6.36000000,0.00294880,0.07673917,0.00000000
6.38000000,0.00468288,0.09666352,0.00000000
6.40000000,0.00681508,0.11654920,0.00000000
6.42000000,0.00934454,0.13638827,0.00000000
6.44000000,0.01227025,0.15617278,0.00000000
6.46000000,0.01559104,0.17589483,0.00000000
6.48000000,0.01930557,0.19554652,0.00000000
6.50000000,0.02341237,0.21511999,0.00000000
6.52000000,0.02790980,0.23460742,0.00000000
6.54000000,0.03279605,0.25400100,0.00000000
6.56000000,0.03806916,0.27329299,0.00000000
6.58000000,0.04372704,0.29247567,0.00000000
6.60000000,0.04976741,0.31154136,0.00000000
6.62000000,0.05618786,0.33048244,0.00000000
6.64000000,0.06298582,0.34929133,0.00000000
6.66000000,0.07015858,0.36796051,0.00000000
6.68000000,0.07770326,0.38648251,0.00000000
6.70000000,0.08561685,0.40484992,0.00000000
6.72000000,0.09389618,0.42305540,0.00000000
6.74000000,0.10253794,0.44109166,0.00000000
6.76000000,0.11153867,0.45895149,0.00000000
6.78000000,0.12089478,0.47662774,0.00000000
6.80000000,0.13060251,0.49411335,0.00000000
6.82000000,0.14065799,0.51140132,0.00000000
6.84000000,0.15105720,0.52848474,0.00000000
6.86000000,0.16179597,0.54535677,0.00000000
6.88000000,0.17287002,0.56201067,0.00000000
6.90000000,0.18427490,0.57843976,0.00000000
6.92000000,0.19600606,0.59463749,0.00000000
6.94000000,0.20805881,0.61059738,0.00000000
6.96000000,0.22042833,0.62631303,0.00000000
6.98000000,0.23310967,0.64177817,0.00000000
7.00000000,0.24609775,0.65698660,0.00000000
7.02000000,0.25938738,0.67193225,0.00000000
7.04000000,0.27297324,0.68660913,0.00000000
7.06000000,0.28684991,0.70101138,0.00000000
7.08000000,0.30101183,0.71513323,0.00000000
7.10000000,0.31545333,0.72896904,0.00000000
7.12000000,0.33016865,0.74251327,0.00000000
7.14000000,0.34515188,0.75576051,0.00000000
7.16000000,0.36039705,0.76870545,0.00000000
7.18000000,0.37589805,0.78134292,0.00000000
7.20000000,0.39164869,0.79366786,0.00000000
7.22000000,0.40764265,0.80567535,0.00000000
7.24000000,0.42387355,0.81736058,0.00000000
7.26000000,0.44033489,0.82871887,0.00000000
7.28000000,0.45702010,0.83974569,0.00000000
7.30000000,0.47392248,0.85043662,0.00000000
7.32000000,0.49103529,0.86078739,0.00000000
7.34000000,0.50835168,0.87079385,0.00000000
7.36000000,0.52586473,0.88045201,0.00000000
7.38000000,0.54356742,0.88975800,0.00000000
7.40000000,0.56145267,0.89870810,0.00000000
7.42000000,0.57951334,0.90729872,0.00000000
7.44000000,0.59774220,0.91552644,0.00000000
7.46000000,0.61613196,0.92338796,0.00000000
7.48000000,0.63467526,0.93088014,0.00000000
7.50000000,0.65336468,0.93799998,0.00000000
7.52000000,0.67219276,0.94474463,0.00000000
7.54000000,0.69115195,0.95111139,0.00000000
7.56000000,0.71023468,0.95709773,0.00000000
7.58000000,0.72943330,0.96270123,0.00000000
7.60000000,0.74874016,0.96791967,0.00000000
7.62000000,0.76814751,0.97275096,0.00000000
7.64000000,0.78764760,0.97719315,0.00000000
7.66000000,0.80723263,0.98124449,0.00000000
7.68000000,0.82689476,0.98490333,0.00000000
7.70000000,0.84662614,0.98816823,0.00000000
7.72000000,0.86641886,0.99103788,0.00000000
7.74000000,0.88626501,0.99351112,0.00000000
7.76000000,0.90615665,0.99558698,0.00000000
7.78000000,0.92608583,0.99726461,0.00000000
7.80000000,0.94604458,0.99854335,0.00000000
7.82000000,0.96602491,0.99942268,0.00000000
7.84000000,0.98601882,0.99990226,0.00000000
7.86000000,1.00601833,0.99998189,0.00000000
7.88000000,1.02601543,0.99966154,0.00000000
7.90000000,1.04600213,0.99894134,0.00000000
